Date,Name,Year,Letterboxd URI,Rating
2022-08-25,Amour,2012,https://boxd.it/34Q6,4
2022-08-27,The Devil Wears Prada,2006,https://boxd.it/2awE,2
2022-09-03,Licorice Pizza,2021,https://boxd.it/qTKY,3
2022-09-07,Captain Fantastic,2016,https://boxd.it/b2K2,2
2022-09-08,Thief,1981,https://boxd.it/1TEc,3
2022-09-10,Paddington,2014,https://boxd.it/3RKw,3
2022-09-10,The Big Short,2015,https://boxd.it/ajZw,4
2022-09-10,Project X,2012,https://boxd.it/neO,3
2022-09-12,A Rainy Day in New York,2019,https://boxd.it/h2z6,2
2022-09-12,Hard Eight,1996,https://boxd.it/20DU,3
2022-09-13,The King of Comedy,1982,https://boxd.it/2aJS,4
2022-09-16,The Machinist,2004,https://boxd.it/248c,3
2022-09-18,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,2
2022-09-18,Hellraiser,1987,https://boxd.it/1Zpi,1
2022-09-18,Heat,1995,https://boxd.it/2bg8,3
2022-09-18,House,1977,https://boxd.it/1vsm,4
2022-09-18,Vanilla Sky,2001,https://boxd.it/27TK,1
2022-09-18,Annie Hall,1977,https://boxd.it/29M2,5
2022-09-20,Memories of Murder,2003,https://boxd.it/1TSo,3
2022-09-20,The Wrestler,2008,https://boxd.it/1So8,3
2022-09-26,Airplane!,1980,https://boxd.it/29yu,4
2022-09-26,The Fly,1986,https://boxd.it/1YIe,3
2022-09-28,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,2
2022-09-29,The Maltese Falcon,1941,https://boxd.it/29c4,2
2022-09-29,The Man Who Sleeps,1974,https://boxd.it/3xwE,1
2022-09-30,The Boondock Saints,1999,https://boxd.it/20gw,3
2022-10-01,Misery,1990,https://boxd.it/28gY,3
2022-10-01,Network,1976,https://boxd.it/1VqG,3
2022-10-03,Paddington 2,2017,https://boxd.it/bCF8,4
2022-10-11,Scanners,1981,https://boxd.it/1YqE,3
2022-10-11,The Brood,1979,https://boxd.it/1ovS,1
2022-10-14,Nope,2022,https://boxd.it/sDCe,4
2022-10-14,Gravity,2013,https://boxd.it/GZY,3
2022-10-14,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2022-10-16,Friday,1995,https://boxd.it/1VLO,4
2022-10-20,Certain Women,2016,https://boxd.it/bk7W,3
2022-10-21,Train to Busan,2016,https://boxd.it/dSQU,4
2022-10-24,The Piano Teacher,2001,https://boxd.it/2886,4
2022-10-24,Knives Out,2019,https://boxd.it/jWEA,3
2022-10-26,Human Nature,2001,https://boxd.it/2ani,4
2022-10-28,CODA,2021,https://boxd.it/tbf4,2
2022-10-30,It,2017,https://boxd.it/bC8e,2
2022-11-03,The Graduate,1967,https://boxd.it/18Im,4
2022-11-04,It Chapter Two,2019,https://boxd.it/h10u,2
2022-11-09,Spring Breakers,2012,https://boxd.it/421s,4
2022-11-16,Sin City,2005,https://boxd.it/2aVk,2
2022-11-18,(500) Days of Summer,2009,https://boxd.it/1EmM,3
2022-11-21,Dead Ringers,1988,https://boxd.it/1Yqk,2
2022-11-21,Seven Psychopaths,2012,https://boxd.it/34PW,3
2022-11-26,Videodrome,1983,https://boxd.it/29uC,2
2022-12-11,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18,1
2022-12-18,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2022-12-18,Rush Hour,1998,https://boxd.it/27pU,2
